일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2022/07/18,"134,500","136,500","134,000","134,500",▲,"1,000","+0.75","22,762","3,071","0","0","0","0","1,526","-75","26.13"
2022/07/15,"135,000","136,000","131,000","133,500",▼,"-1,000","-0.74","127,723","16,976","0.43","12,945","-31,990","14,919","16,536","4,448","26.13"
2022/07/14,"135,000","138,000","134,000","134,500",▼,"-1,500","-1.10","172,436","23,340","0.45","1,081","-45,222","38,958","52,163","21,716","26.11"
2022/07/13,"131,000","137,500","130,000","136,000",▲,"6,000","+4.62","195,845","26,349","0.46","-83,921","12,972","77,941","65,850","59,430","26.04"
2022/07/12,"130,000","131,000","128,500","130,000",▼,"-1,000","-0.76","117,074","15,151","0.45","-1,385","-28,403","39,351","23,476","22,740","25.91"
2022/07/11,"133,500","133,500","129,500","131,000",▼,"-2,000","-1.50","114,452","14,967","0.45","17,621","-14,327","-2,949","-980","-1,197","25.84"
2022/07/08,"135,500","136,000","132,000","133,000",▼,"-2,000","-1.48","128,173","17,142","0.46","25,657","-27,805","1,570","7,037","3,510","25.85"
2022/07/07,"132,000","136,000","131,500","135,000",▲,"4,500","+3.45","165,829","22,322","0.47","-51,344","40,792","17,910","26,115","15,774","25.84"
2022/07/06,"130,000","134,500","129,000","130,500",▲,"500","+0.38","237,596","31,408","0.47","-59,247","16,399","51,027","42,048","71,183","25.81"
2022/07/05,"129,000","132,000","128,000","130,000",▲,"2,000","+1.56","122,989","15,942","0.45","-3,398","6,278","14,222","-14,693","9,871","25.72"
2022/07/04,"131,000","131,000","126,000","128,000",▼,"-2,500","-1.92","190,071","24,316","0.47","14,921","-24,873","-22,632","15,054","-752","25.70"
2022/07/01,"131,500","132,500","129,000","130,500",▲,"500","+0.38","274,749","35,785","0.44","-3,580","-58,704","49,696","67,508","3,997","25.74"
2022/06/30,"138,500","138,500","129,000","130,000",▼,"-9,000","-6.47","424,089","55,757","0.46","93,701","-112,081","18,098","21,606","-89,844","25.65"
2022/06/29,"131,500","139,000","131,000","139,000",▲,"6,500","+4.91","446,987","61,059","0.45","-119,142","-44,324","176,290","163,202","102,030","25.62"
2022/06/28,"134,000","135,500","130,000","132,500",▼,"-1,000","-0.75","215,029","28,302","0.47","29,193","-35,540","-29,641","18,062","-16,136","25.32"
2022/06/27,"130,500","134,000","127,500","133,500",▲,"4,000","+3.09","253,558","33,500","0.47","-43,119","-24,479","46,891","37,612","36,120","25.37"
2022/06/24,"128,000","131,500","128,000","129,500",▲,"1,500","+1.17","284,786","36,879","0.50","-24,466","-24,470","53,557","4,164","-7,968","25.29"
2022/06/23,"126,000","129,500","124,500","128,000",▲,"1,500","+1.19","323,898","41,291","0.48","-81,604","22,615","122,605","51,158","40,060","25.20"
2022/06/22,"140,500","140,500","125,500","126,500",▼,"-14,500","-10.28","867,468","112,764","0.48","257,698","-100,176","-147,305","-165,404","-188,823","24.99"
2022/06/21,"140,000","142,000","138,000","141,000",▲,"1,500","+1.08","157,140","22,006","0.51","-7,131","-16,933","17,051","16,878","13,070","25.24"
2022/06/20,"140,500","142,000","138,000","139,500", ,"0","0","250,449","35,026","0.52","-26,933","9,099","76,190","25,425","39,333","25.21"
2022/06/17,"132,000","139,500","131,000","139,500",▲,"4,500","+3.33","406,829","55,541","0.50","-69,427","7,984","74,600","48,091","45,087","25.08"
2022/06/16,"144,000","145,500","134,500","135,000",▼,"-7,000","-4.93","543,242","75,466","0.52","162,871","-27,825","-155,520","-56,296","-141,807","24.96"
2022/06/15,"146,000","147,500","140,500","142,000",▼,"-4,000","-2.74","293,028","41,900","0.51","7,874","29,543","-39,666","-22,982","-8,537","25.22"
2022/06/14,"146,500","148,000","143,500","146,000",▼,"-3,500","-2.34","409,490","59,540","0.53","72,937","7,020","-60,308","-81,378","-51,094","25.29"
2022/06/13,"150,000","152,000","148,500","149,500",▼,"-3,500","-2.29","222,137","33,331","0.52","10,937","-3,191","14,588","-11,016","-6,631","25.39"
2022/06/10,"155,000","156,000","153,000","153,000",▼,"-4,000","-2.55","207,465","31,946","0.50","97,859","-72,833","6,776","-34,152","-23,814","25.37"
2022/06/09,"155,500","157,000","153,500","157,000",▲,"2,000","+1.29","292,296","45,547","0.48","42,637","74,492","-102,476","-125,238","-97,540","25.36"
2022/06/08,"160,500","161,000","155,000","155,000",▼,"-5,000","-3.13","302,234","47,227","0.46","180,056","-73,291","-105,299","-88,293","-90,635","25.53"
2022/06/07,"166,500","166,500","159,000","160,000",▼,"-6,500","-3.90","288,293","45,041","0.47","66,021","-28,497","-35,550","-23,220","-34,491","25.71"
2022/06/03,"163,500","167,500","162,500","166,500",▲,"4,500","+2.78","222,114","36,720","0.46","-108,028","58,226","42,692","18,626","49,146","25.77"
2022/06/02,"162,500","164,000","161,000","162,000",▼,"-1,500","-0.92","160,594","26,042","0.47","2,298","3,370","-5,723","-5,923","10,544","25.70"
2022/05/31,"163,000","165,000","162,000","163,500",▲,"2,000","+1.24","588,568","96,136","0.51","-35,724","44,149","-8,693","-16,969","-14,444","25.71"
2022/05/30,"158,500","162,000","158,000","161,500",▲,"5,500","+3.53","320,869","51,503","0.52","-136,777","70,582","75,053","13,935","67,726","25.72"
2022/05/27,"156,000","157,500","154,000","156,000",▲,"1,500","+0.97","333,183","51,654","0.50","-1,983","30,093","-18,896","-8,146","5,864","25.60"
2022/05/26,"157,000","159,000","153,000","154,500",▼,"-2,500","-1.59","256,175","39,843","0.51","70,065","-9,536","-62,514","-13,472","-43,953","25.63"
2022/05/25,"157,000","158,000","155,000","157,000",▲,"2,000","+1.29","126,697","19,880","0.51","-30,237","33,727","-51","-214","-8,051","25.73"
2022/05/24,"158,000","158,000","155,000","155,000",▼,"-3,000","-1.90","182,426","28,483","0.52","12,477","35,210","-42,398","-23,047","-49,658","25.73"
2022/05/23,"154,000","158,000","152,500","158,000",▲,"4,500","+2.93","224,089","34,981","0.52","-50,082","45,983","-7,150","-8,582","-14,807","25.81"
