iter	Passed	Remaining
0	223	201787
1	228	103277
2	265	79710
3	301	67767
4	302	54315
5	338	50665
6	339	43473
7	375	42087
8	411	40944
9	447	40011
10	482	39210
11	519	38617
12	554	38036
13	590	37562
14	626	37141
15	662	36757
16	698	36420
17	733	36113
18	734	34217
19	770	34039
20	806	33922
21	842	33788
22	879	33671
23	915	33552
24	950	33429
25	951	32137
26	987	32066
27	1023	32021
28	1059	31975
29	1109	32318
30	1160	32691
31	1198	32651
32	1234	32580
33	1269	32491
34	1305	32407
35	1340	32330
36	1376	32252
37	1411	32172
38	1446	32093
39	1482	32019
40	1519	31982
41	1555	31927
42	1591	31865
43	1627	31805
44	1663	31749
45	1698	31689
46	1735	31646
47	1772	31609
48	1808	31549
49	1844	31509
50	1880	31456
51	1917	31413
52	1953	31367
53	1989	31312
54	2024	31254
55	2060	31203
56	2109	31349
57	2158	31484
58	2195	31439
59	2231	31395
60	2268	31354
61	2304	31300
62	2340	31244
63	2375	31184
64	2411	31121
65	2446	31060
66	2481	30996
67	2516	30943
68	2552	30890
69	2587	30832
70	2623	30782
71	2659	30731
72	2694	30677
73	2730	30627
74	2766	30576
75	2801	30520
76	2836	30465
77	2872	30413
78	2907	30360
79	2943	30316
80	2979	30269
81	3014	30218
82	3049	30167
83	3093	30200
84	3141	30268
85	3178	30228
86	3213	30180
87	3249	30134
88	3285	30086
89	3321	30041
90	3357	29996
91	3393	29950
92	3428	29897
93	3463	29848
94	3499	29800
95	3534	29752
96	3570	29705
97	3606	29661
98	3641	29613
99	3677	29564
100	3712	29517
101	3748	29472
102	3783	29425
103	3819	29381
104	3855	29338
105	3891	29296
106	3927	29253
107	3963	29210
108	3998	29161
109	4033	29116
110	4072	29091
111	4122	29148
112	4168	29179
113	4209	29171
114	4244	29124
115	4280	29077
116	4316	29034
117	4351	28987
118	4386	28939
119	4422	28893
120	4458	28849
121	4494	28806
122	4536	28802
123	4571	28756
124	4607	28714
125	4643	28670
126	4678	28623
127	4713	28577
128	4755	28567
129	4791	28527
130	4827	28484
131	4863	28441
132	4898	28396
133	4934	28352
134	4970	28310
135	5011	28298
136	5053	28290
137	5108	28353
138	5151	28349
139	5187	28311
140	5229	28297
141	5266	28258
142	5302	28216
143	5344	28209
144	5381	28171
145	5418	28129
146	5459	28117
147	5495	28072
148	5532	28033
149	5573	28016
150	5616	28005
151	5658	27994
152	5694	27949
153	5730	27907
154	5766	27865
155	5802	27821
156	5837	27776
157	5873	27730
158	5909	27687
159	5951	27672
160	5986	27627
161	6023	27587
162	6059	27548
163	6118	27609
164	6163	27604
165	6199	27562
166	6236	27521
167	6272	27477
168	6313	27458
169	6350	27418
170	6386	27375
171	6421	27330
172	6457	27286
173	6499	27269
174	6535	27225
175	6577	27207
176	6613	27164
177	6649	27120
178	6684	27074
179	6719	27029
180	6755	26986
181	6792	26946
182	6828	26903
183	6864	26859
184	6900	26818
185	6936	26774
186	6971	26730
187	7008	26691
188	7044	26648
189	7092	26651
190	7139	26650
191	7175	26610
192	7211	26567
193	7246	26522
194	7282	26479
195	7318	26437
196	7354	26393
197	7390	26352
198	7426	26310
199	7462	26269
200	7498	26226
201	7535	26186
202	7576	26162
203	7611	26118
204	7652	26094
205	7688	26052
206	7729	26027
207	7770	26002
208	7814	25984
209	7851	25945
210	7887	25906
211	7929	25883
212	7965	25840
213	8001	25798
214	8037	25756
215	8086	25757
216	8137	25763
217	8175	25725
218	8211	25683
219	8247	25641
220	8283	25600
221	8320	25562
222	8359	25528
223	8396	25488
224	8433	25449
225	8469	25407
226	8505	25367
227	8542	25329
228	8579	25289
229	8615	25247
230	8652	25208
231	8690	25171
232	8727	25132
233	8763	25091
234	8799	25051
235	8836	25012
236	8874	24974
237	8910	24933
238	8946	24892
239	8983	24853
240	9019	24814
241	9067	24805
242	9118	24803
243	9155	24764
244	9190	24721
245	9228	24683
246	9266	24649
247	9305	24615
248	9342	24576
249	9378	24533
250	9413	24490
251	9449	24449
252	9491	24423
253	9527	24381
254	9563	24340
255	9599	24299
256	9636	24259
257	9672	24218
258	9708	24176
259	9749	24149
260	9785	24108
261	9821	24066
262	9857	24024
263	9894	23987
264	9931	23947
265	9968	23910
266	10006	23872
267	10047	23844
268	10106	23856
269	10150	23834
270	10189	23800
271	10226	23761
272	10264	23724
273	10308	23702
274	10345	23663
275	10384	23628
276	10421	23588
277	10457	23549
278	10495	23512
279	10534	23476
280	10570	23436
281	10608	23399
282	10646	23361
283	10683	23322
284	10719	23282
285	10756	23243
286	10792	23202
287	10829	23163
288	10865	23123
289	10901	23082
290	10937	23041
291	10973	22999
292	11009	22957
293	11050	22927
294	11101	22917
295	11138	22879
296	11174	22837
297	11210	22797
298	11248	22761
299	11284	22720
300	11320	22678
301	11355	22636
302	11391	22594
303	11427	22553
304	11462	22511
305	11498	22471
306	11534	22431
307	11576	22401
308	11611	22359
309	11648	22319
310	11684	22278
311	11719	22237
312	11755	22196
313	11791	22156
314	11827	22115
315	11862	22073
316	11898	22032
317	11939	22001
318	11975	21961
319	12011	21920
320	12050	21886
321	12096	21864
322	12137	21831
323	12172	21791
324	12207	21748
325	12242	21706
326	12278	21664
327	12313	21623
328	12355	21593
329	12391	21553
330	12432	21522
331	12474	21491
332	12510	21451
333	12546	21411
334	12582	21370
335	12617	21329
336	12653	21289
337	12690	21251
338	12732	21220
339	12769	21182
340	12810	21150
341	12846	21110
342	12882	21069
343	12918	21030
344	12954	20989
345	12989	20948
346	13025	20908
347	13085	20907
348	13132	20884
349	13169	20844
350	13204	20804
351	13240	20763
352	13276	20723
353	13312	20682
354	13347	20641
355	13383	20601
356	13419	20560
357	13455	20521
358	13492	20482
359	13527	20442
360	13563	20401
361	13599	20361
362	13634	20321
363	13670	20280
364	13707	20241
365	13748	20209
366	13784	20169
367	13820	20129
368	13862	20098
369	13898	20058
370	13939	20026
371	13975	19986
372	14012	19948
373	14061	19927
374	14110	19904
375	14146	19865
376	14182	19825
377	14218	19784
378	14253	19744
379	14289	19704
380	14325	19664
381	14361	19624
382	14396	19584
383	14432	19544
384	14473	19511
385	14509	19471
386	14545	19432
387	14581	19392
388	14618	19353
389	14654	19314
390	14690	19274
391	14726	19234
392	14763	19196
393	14799	19156
394	14835	19116
395	14871	19077
396	14907	19038
397	14944	18999
398	14979	18959
399	15016	18920
400	15066	18898
401	15113	18873
402	15158	18844
403	15200	18811
404	15236	18772
405	15279	18741
406	15315	18702
407	15351	18662
408	15387	18622
409	15428	18589
410	15469	18556
411	15506	18517
412	15542	18477
413	15578	18437
414	15614	18398
415	15650	18358
416	15686	18319
417	15721	18279
418	15757	18239
419	15793	18200
420	15829	18160
421	15865	18121
422	15901	18081
423	15937	18042
424	15973	18003
425	16009	17963
426	16057	17937
427	16104	17911
428	16142	17872
429	16178	17833
430	16214	17794
431	16249	17754
432	16285	17714
433	16321	17675
434	16364	17643
435	16411	17616
436	16449	17578
437	16494	17548
438	16531	17510
439	16572	17476
440	16609	17437
441	16646	17399
442	16683	17360
443	16719	17322
444	16756	17283
445	16797	17249
446	16833	17210
447	16870	17171
448	16906	17132
449	16942	17093
450	16979	17055
451	17020	17020
452	17071	16996
453	17111	16960
454	17148	16922
455	17185	16883
456	17221	16844
457	17257	16805
458	17293	16766
459	17329	16726
460	17369	16691
461	17406	16652
462	17442	16613
463	17477	16573
464	17514	16535
465	17550	16495
466	17585	16456
467	17621	16416
468	17657	16377
469	17699	16343
470	17740	16309
471	17776	16270
472	17818	16235
473	17855	16198
474	17893	16160
475	17934	16126
476	17971	16087
477	18017	16057
478	18066	16029
479	18106	15994
480	18143	15955
481	18180	15916
482	18215	15877
483	18251	15838
484	18293	15804
485	18329	15765
486	18365	15725
487	18401	15686
488	18436	15646
489	18478	15612
490	18519	15577
491	18556	15538
492	18592	15500
493	18634	15465
494	18670	15426
495	18706	15387
496	18747	15352
497	18783	15313
498	18819	15274
499	18855	15235
500	18892	15196
501	18934	15162
502	18975	15127
503	19020	15095
504	19071	15068
505	19115	15035
506	19158	15001
507	19194	14962
508	19230	14923
509	19266	14884
510	19303	14845
511	19339	14806
512	19374	14766
513	19410	14727
514	19445	14687
515	19480	14648
516	19516	14608
517	19552	14570
518	19587	14530
519	19629	14495
520	19665	14456
521	19700	14417
522	19736	14377
523	19771	14338
524	19808	14299
525	19844	14260
526	19886	14225
527	19922	14187
528	19964	14152
529	20009	14120
530	20061	14092
531	20102	14056
532	20145	14022
533	20181	13983
534	20217	13944
535	20258	13908
536	20295	13870
537	20333	13833
538	20376	13798
539	20417	13763
540	20453	13723
541	20489	13684
542	20525	13645
543	20561	13606
544	20597	13567
545	20633	13528
546	20669	13490
547	20712	13455
548	20747	13416
549	20784	13377
550	20820	13338
551	20862	13303
552	20903	13268
553	20946	13233
554	20988	13198
555	21049	13174
556	21088	13137
557	21125	13099
558	21163	13061
559	21206	13026
560	21248	12991
561	21285	12953
562	21321	12914
563	21363	12878
564	21405	12843
565	21441	12804
566	21476	12764
567	21512	12725
568	21547	12686
569	21583	12647
570	21618	12607
571	21654	12568
572	21696	12533
573	21733	12494
574	21769	12456
575	21811	12420
576	21848	12382
577	21886	12344
578	21923	12305
579	21965	12270
580	22008	12235
581	22066	12208
582	22104	12171
583	22147	12135
584	22190	12100
585	22226	12061
586	22261	12021
587	22296	11982
588	22331	11943
589	22369	11904
590	22406	11866
591	22449	11831
592	22486	11792
593	22523	11754
594	22559	11715
595	22595	11676
596	22631	11637
