iter	Passed	Remaining
0	3	3114
1	5	2969
2	8	2952
3	11	2895
4	14	2857
5	17	2845
6	19	2810
7	22	2789
8	25	2777
9	27	2763
10	30	2749
11	33	2728
12	35	2718
13	38	2725
14	41	2720
15	44	2718
16	46	2712
17	49	2713
18	52	2721
19	55	2720
20	58	2717
21	61	2712
22	63	2710
23	66	2707
24	69	2701
25	72	2699
26	74	2700
27	77	2694
28	80	2693
29	83	2692
30	85	2685
31	88	2675
32	91	2666
33	93	2654
34	95	2646
35	98	2637
36	101	2633
37	104	2635
38	106	2629
39	109	2629
40	112	2631
41	115	2630
42	117	2618
43	120	2610
44	122	2601
45	125	2602
46	127	2593
47	130	2590
48	133	2592
49	136	2587
50	139	2587
51	141	2580
52	144	2578
53	146	2570
54	149	2568
55	151	2550
56	153	2545
57	156	2537
58	158	2530
59	161	2527
60	163	2523
61	166	2520
62	169	2520
63	172	2517
64	174	2513
65	177	2513
66	180	2507
67	182	2505
68	185	2498
69	188	2498
70	191	2499
71	193	2499
72	196	2500
73	199	2498
74	202	2497
75	205	2496
76	207	2493
77	210	2487
78	213	2484
79	215	2481
80	218	2476
81	220	2470
82	223	2465
83	225	2460
84	228	2455
85	230	2452
86	233	2446
87	235	2444
88	238	2441
89	240	2435
90	243	2430
91	245	2426
92	248	2422
93	251	2419
94	253	2415
95	256	2412
96	258	2409
97	261	2405
98	263	2401
99	266	2399
100	269	2394
101	271	2392
102	274	2389
103	276	2385
104	279	2381
105	282	2380
106	285	2380
107	288	2380
108	291	2381
109	294	2379
110	296	2378
111	299	2376
112	302	2372
113	304	2369
114	307	2366
115	309	2362
116	312	2359
117	315	2357
118	318	2354
119	320	2350
120	323	2346
121	325	2344
122	328	2342
123	331	2339
124	333	2334
125	336	2332
126	338	2329
127	341	2328
128	344	2325
129	347	2323
130	350	2322
131	352	2318
132	355	2316
133	357	2312
134	360	2308
135	362	2306
136	365	2303
137	368	2302
138	371	2300
139	374	2299
140	376	2296
141	379	2295
142	382	2294
143	385	2291
144	388	2291
145	391	2288
146	394	2287
147	396	2284
148	399	2281
149	401	2277
150	404	2276
151	407	2275
152	410	2273
153	413	2271
154	416	2270
155	419	2269
156	422	2267
157	425	2264
158	427	2261
159	430	2258
160	432	2254
161	435	2251
162	437	2247
163	440	2243
164	442	2240
165	445	2238
166	448	2236
167	450	2232
168	453	2229
169	456	2227
170	458	2224
171	461	2222
172	464	2220
173	467	2216
174	469	2213
175	472	2211
176	475	2209
177	477	2206
178	480	2204
179	483	2201
180	486	2199
181	488	2195
182	490	2191
183	493	2188
184	496	2185
185	499	2183
186	501	2182
187	504	2180
188	507	2177
189	510	2174
190	512	2172
191	515	2170
192	518	2166
193	521	2165
194	523	2162
195	526	2159
196	528	2155
197	531	2151
198	533	2147
199	536	2144
200	538	2140
201	540	2136
202	543	2132
203	545	2129
204	548	2126
205	551	2124
206	553	2120
207	556	2117
208	558	2113
209	560	2110
210	563	2106
211	566	2104
212	568	2101
213	571	2097
214	573	2095
215	576	2093
216	579	2091
217	582	2089
218	585	2086
219	587	2084
220	590	2082
221	593	2079
222	595	2076
223	598	2073
224	601	2070
225	603	2068
226	607	2067
227	609	2065
228	612	2063
229	615	2061
230	618	2059
231	621	2057
232	624	2055
233	627	2052
234	629	2050
235	632	2047
236	635	2044
237	637	2042
238	640	2039
239	642	2035
240	645	2033
241	648	2030
242	650	2027
243	653	2024
244	656	2022
245	658	2019
246	661	2016
247	664	2014
248	666	2011
249	670	2010
250	672	2007
251	675	2005
252	678	2003
253	681	2001
254	684	1999
255	686	1996
256	689	1993
257	692	1990
258	695	1988
259	697	1985
260	700	1984
261	703	1982
262	706	1980
263	709	1977
264	712	1975
265	718	1981
266	723	1985
267	727	1986
268	729	1983
269	732	1980
270	735	1978
271	738	1976
272	740	1972
273	743	1969
274	745	1966
275	748	1963
276	751	1960
277	754	1958
278	756	1955
279	759	1952
280	762	1950
281	764	1947
282	767	1944
283	770	1941
284	773	1939
285	775	1937
286	778	1934
287	781	1932
288	784	1929
289	786	1926
290	789	1923
291	792	1921
292	794	1918
293	797	1914
294	800	1911
295	802	1909
296	805	1906
297	808	1903
298	810	1900
299	813	1897
300	816	1895
301	819	1893
302	821	1890
303	824	1887
304	827	1884
305	829	1881
306	831	1877
307	834	1874
308	836	1871
309	839	1868
310	841	1864
311	844	1861
312	846	1858
313	849	1855
314	852	1852
315	854	1850
316	857	1848
317	860	1845
318	863	1842
319	865	1839
320	868	1837
321	871	1835
322	874	1833
323	877	1831
324	880	1829
325	883	1826
326	886	1823
327	888	1821
328	891	1818
329	894	1815
330	896	1812
331	899	1810
332	902	1807
333	905	1805
334	908	1802
335	910	1800
336	913	1797
337	916	1795
338	919	1793
339	922	1790
340	925	1787
341	927	1784
342	929	1781
343	932	1779
344	935	1776
345	938	1774
346	941	1770
347	943	1767
348	946	1764
349	948	1761
350	951	1758
351	954	1756
352	956	1753
353	959	1750
354	961	1747
355	964	1744
356	966	1741
357	969	1738
358	972	1735
359	974	1732
360	977	1730
361	980	1727
362	983	1725
363	986	1723
364	989	1721
365	991	1718
366	994	1714
367	996	1711
368	999	1709
369	1002	1707
370	1005	1704
371	1008	1702
372	1011	1699
373	1014	1697
374	1016	1694
375	1019	1691
376	1021	1688
377	1024	1686
378	1027	1683
379	1030	1681
380	1033	1678
381	1036	1676
382	1038	1673
383	1041	1670
384	1044	1668
385	1047	1665
386	1049	1662
387	1052	1659
388	1054	1656
389	1057	1653
390	1059	1650
391	1061	1647
392	1064	1644
393	1067	1641
394	1070	1639
395	1072	1636
396	1075	1633
397	1078	1630
398	1080	1628
399	1083	1625
400	1086	1623
401	1089	1620
402	1092	1617
403	1094	1615
404	1097	1612
405	1100	1610
406	1103	1607
407	1105	1604
408	1108	1602
409	1111	1599
410	1114	1596
411	1117	1594
412	1119	1591
413	1122	1588
414	1124	1585
415	1127	1583
416	1130	1580
417	1133	1577
418	1135	1575
419	1138	1572
420	1140	1569
421	1143	1566
422	1145	1563
423	1148	1560
424	1151	1557
425	1153	1554
426	1156	1551
427	1158	1548
428	1161	1545
429	1163	1542
430	1166	1540
431	1169	1537
432	1171	1534
433	1174	1531
434	1177	1529
435	1179	1526
436	1182	1523
437	1185	1521
438	1188	1518
439	1191	1516
440	1194	1513
441	1197	1511
442	1199	1508
443	1202	1505
444	1204	1502
445	1207	1500
446	1210	1497
447	1213	1495
448	1216	1492
449	1218	1489
450	1221	1487
451	1224	1485
452	1227	1482
453	1230	1479
454	1233	1476
455	1235	1473
456	1238	1471
457	1240	1468
458	1243	1465
459	1245	1462
460	1247	1459
461	1250	1456
462	1252	1453
463	1255	1450
464	1258	1447
465	1260	1444
466	1263	1441
467	1265	1438
468	1268	1435
469	1270	1432
470	1273	1429
471	1275	1427
472	1278	1424
473	1281	1421
474	1284	1419
475	1287	1416
476	1289	1414
477	1292	1411
478	1295	1408
479	1297	1406
480	1300	1403
481	1303	1400
482	1306	1398
483	1308	1395
484	1311	1392
485	1313	1389
486	1316	1387
487	1319	1384
488	1322	1381
489	1324	1378
490	1327	1375
491	1329	1373
492	1332	1370
493	1334	1367
494	1337	1364
495	1340	1361
496	1342	1358
497	1345	1355
498	1347	1353
499	1350	1350
500	1353	1347
501	1355	1344
502	1358	1342
503	1360	1339
504	1363	1336
505	1366	1333
506	1368	1330
507	1371	1328
508	1373	1325
509	1376	1322
510	1378	1319
511	1381	1316
512	1384	1313
513	1386	1311
514	1389	1308
515	1391	1305
516	1394	1302
517	1396	1299
518	1399	1297
519	1402	1294
520	1404	1291
521	1407	1288
522	1410	1286
523	1413	1283
524	1415	1280
525	1418	1277
526	1420	1274
527	1423	1272
528	1425	1269
529	1428	1266
530	1431	1263
531	1433	1261
532	1435	1258
533	1438	1255
534	1441	1252
535	1443	1249
536	1446	1247
537	1448	1244
538	1451	1241
539	1453	1238
540	1456	1235
541	1458	1232
542	1461	1229
543	1463	1226
544	1466	1224
545	1468	1221
546	1471	1218
547	1473	1215
548	1476	1212
549	1478	1209
550	1481	1206
551	1483	1204
552	1486	1201
553	1489	1199
554	1492	1196
555	1494	1193
556	1497	1190
557	1499	1187
558	1502	1185
559	1505	1182
560	1508	1180
561	1510	1177
562	1512	1174
563	1515	1171
564	1518	1168
565	1520	1165
566	1522	1162
567	1525	1160
568	1528	1157
569	1530	1154
570	1533	1152
571	1536	1149
572	1538	1146
573	1541	1143
574	1543	1141
575	1546	1138
576	1548	1135
577	1551	1132
578	1553	1129
579	1556	1126
580	1558	1124
581	1561	1121
582	1564	1118
583	1566	1116
584	1569	1113
585	1572	1110
586	1574	1107
587	1577	1105
588	1579	1102
589	1582	1099
590	1585	1097
591	1587	1094
592	1590	1091
593	1593	1089
594	1596	1086
595	1599	1084
596	1601	1081
597	1604	1078
598	1606	1075
599	1609	1073
600	1612	1070
601	1615	1067
602	1617	1065
603	1620	1062
604	1623	1060
605	1626	1057
606	1628	1054
607	1631	1051
608	1633	1048
609	1636	1046
610	1638	1043
611	1641	1040
612	1643	1037
613	1646	1035
614	1649	1032
615	1651	1029
616	1654	1027
617	1657	1024
618	1659	1021
619	1662	1018
620	1664	1016
621	1667	1013
622	1670	1010
623	1673	1008
624	1675	1005
625	1678	1002
626	1681	1000
627	1683	997
628	1686	994
629	1688	991
630	1691	989
631	1693	986
632	1696	983
633	1699	981
634	1702	978
635	1704	975
636	1707	973
637	1710	970
638	1712	967
639	1715	964
640	1717	962
641	1720	959
642	1722	956
643	1725	953
644	1727	950
645	1730	948
646	1732	945
647	1734	942
648	1737	939
649	1739	936
650	1742	934
651	1745	931
652	1747	928
653	1749	925
654	1752	923
655	1755	920
656	1757	917
657	1760	915
658	1763	912
659	1765	909
660	1768	906
661	1771	904
662	1773	901
663	1776	898
664	1779	896
665	1782	893
666	1784	890
667	1787	888
668	1789	885
669	1792	882
670	1795	880
671	1797	877
672	1800	874
673	1802	872
674	1805	869
675	1807	866
676	1810	863
677	1813	861
678	1815	858
679	1818	855
680	1820	852
681	1823	850
682	1826	847
683	1828	844
684	1831	842
685	1833	839
686	1836	836
687	1838	833
688	1841	831
689	1844	828
690	1846	825
691	1849	823
692	1852	820
693	1855	817
694	1857	815
695	1860	812
696	1863	809
697	1865	807
698	1868	804
699	1870	801
700	1873	799
701	1875	796
702	1878	793
703	1880	790
704	1883	788
705	1886	785
706	1889	783
707	1892	780
708	1895	777
709	1898	775
710	1900	772
711	1903	770
712	1906	767
713	1909	764
